Time (days),Concentration (mg/L),Concentration Upper (mg/L),Concentration Lower (mg/L)
-100.0,0.0,0.0,0.0
-99.8999799959992,1.5257346925308628e-129,1.678308161783949e-129,1.3731612232777766e-129
-99.7999599919984,3.6002840358229604e-63,3.9603124394052567e-63,3.2402556322406645e-63
-99.6999399879976,5.130295548051325e-41,5.643325102856457e-41,4.617265993246192e-41
-99.5999199839968,6.299195409822488e-30,6.929114950804737e-30,5.669275868840239e-30
-99.499899979996,2.876236983289595e-23,3.163860681618555e-23,2.5886132849606358e-23
-99.3998799759952,7.975221454827116e-19,8.772743600309827e-19,7.177699309344404e-19
-99.2998599719944,1.1939860418638123e-15,1.3133846460501936e-15,1.074587437677431e-15
-99.1998399679936,2.879649956047883e-13,3.1676149516526716e-13,2.591684960443095e-13
-99.0998199639928,2.0542712565281575e-11,2.2596983821809734e-11,1.8488441308753417e-11
-98.999799959992,6.242763135316069e-10,6.867039448847677e-10,5.618486821784462e-10
-98.89977995599119,1.019452288916518e-08,1.1213975178081698e-08,9.175070600248663e-09
-98.7997599519904,1.0445066495620227e-07,1.148957314518225e-07,9.400559846058205e-08
-98.6997399479896,7.475078172070933e-07,8.222585989278027e-07,6.72757035486384e-07
-98.5997199439888,4.034488055057639e-06,4.437936860563404e-06,3.6310392495518754e-06
-98.49969993998799,1.7372736822110933e-05,1.9110010504322027e-05,1.563546313989984e-05
-98.3996799359872,6.225785798752496e-05,6.848364378627746e-05,5.603207218877247e-05
-98.2996599319864,0.0001917775034460613,0.00021095525379066747,0.00017259975310145517
-98.1996399279856,0.0005207122802154568,0.0005727835082370026,0.0004686410521939112
-98.0996199239848,0.0012712166280943523,0.0013983382909037877,0.0011440949652849171
-97.99959991998399,0.0028350874247404616,0.003118596167214508,0.0025515786822664153
-97.8995799159832,0.005850998883156761,0.0064360987714724375,0.005265898994841085
-97.7995599119824,0.011292432735322768,0.012421676008855045,0.01016318946179049
-97.6995399079816,0.02055995369611618,0.0226159490657278,0.018503958326504564
-97.59951990398079,0.03557035169486802,0.039127386864354824,0.03201331652538122
-97.49949989998,0.05883510810792733,0.06471861891872006,0.0529515972971346
-97.3994798959792,0.09352152794410687,0.10287368073851756,0.08416937514969619
-97.2994598919784,0.1434914536441816,0.15784059900859976,0.12914230827976345
-97.19943988797759,0.21331442463649164,0.23464586710014082,0.1919829821728425
-97.0994198839768,0.3082541730769616,0.3390795903846578,0.27742875576926546
