Time (days),Concentration (mg/L),Concentration Upper (mg/L),Concentration Lower (mg/L)
-100.0,0.0,0.0,0.0
-99.8999799959992,3.338666503655771e-132,3.672533154021348e-132,3.004799853290194e-132
-99.7999599919984,7.878268596036126e-66,8.666095455639739e-66,7.090441736432513e-66
-99.6999399879976,1.1226293787500548e-43,1.2348923166250604e-43,1.0103664408750493e-43
-99.5999199839968,1.3784121720317445e-32,1.5162533892349192e-32,1.24057095482857e-32
-99.499899979996,6.293883281080762e-26,6.923271609188839e-26,5.664494952972686e-26
-99.3998799759952,1.7451661065856982e-21,1.9196827172442682e-21,1.5706494959271284e-21
-99.2998599719944,2.612722397490225e-18,2.873994637239248e-18,2.3514501577412024e-18
-99.1998399679936,6.301351668528309e-16,6.931486835381141e-16,5.671216501675479e-16
-99.0998199639928,4.4952288672263217e-14,4.944751753948954e-14,4.0457059805036894e-14
-98.999799959992,1.3660634625515165e-12,1.5026698088066682e-12,1.2294571162963649e-12
-98.89977995599119,2.2308014792761455e-11,2.4538816272037604e-11,2.007721331348531e-11
-98.7997599519904,2.2856263155121908e-10,2.51418894706341e-10,2.0570636839609717e-10
-98.6997399479896,1.6357229882414042e-09,1.7992952870655448e-09,1.4721506894172638e-09
-98.5997199439888,8.828409155773188e-09,9.711250071350507e-09,7.94556824019587e-09
-98.49969993998799,3.80156358695604e-08,4.1817199456516444e-08,3.421407228260436e-08
-98.3996799359872,1.362348421844664e-07,1.4985832640291304e-07,1.2261135796601975e-07
-98.2996599319864,4.1965430165844007e-07,4.6161973182428413e-07,3.7768887149259606e-07
-98.1996399279856,1.139440989647941e-06,1.2533850886127352e-06,1.025496890683147e-06
-98.0996199239848,2.7817210920652887e-06,3.059893201271818e-06,2.50354898285876e-06
-97.99959991998399,6.203838364726187e-06,6.8242222011988065e-06,5.583454528253569e-06
-97.8995799159832,1.280336226196656e-05,1.4083698488163217e-05,1.1523026035769904e-05
-97.7995599119824,2.4710499867882765e-05,2.7181549854671044e-05,2.223944988109449e-05
-97.6995399079816,4.4990016323266e-05,4.9489017955592606e-05,4.0491014690939406e-05
-97.59951990398079,7.783629900288767e-05,8.561992890317645e-05,7.00526691025989e-05
-97.49949989998,0.00012874506009499394,0.00014161956610449333,0.00011587055408549454
