Time (days),Concentration (mg/L),Concentration Upper (mg/L),Concentration Lower (mg/L)
-100.0,0.0,0.0,0.0
-99.8999799959992,1.0769891947276678e-132,1.1846881142004348e-132,9.69290275254901e-133
-99.7999599919984,2.541376966463266e-66,2.795514663109593e-66,2.2872392698169395e-66
-99.6999399879976,3.621385092742112e-44,3.9835236020163235e-44,3.2592465834679005e-44
-99.5999199839968,4.4464908775217555e-33,4.891139965273931e-33,4.00184178976958e-33
-99.499899979996,2.030284929380891e-26,2.2333134223189802e-26,1.827256436442802e-26
-99.3998799759952,5.629568085760317e-22,6.192524894336349e-22,5.066611277184285e-22
-99.2998599719944,8.428136766097498e-19,9.27095044270725e-19,7.585323089487749e-19
-99.1998399679936,2.032694086622035e-16,2.2359634952842387e-16,1.8294246779598317e-16
-99.0998199639928,1.450073828137523e-14,1.5950812109512754e-14,1.3050664453237707e-14
-98.999799959992,4.406656330811343e-13,4.847321963892477e-13,3.965990697730209e-13
-98.89977995599119,7.196133804116598e-12,7.915747184528258e-12,6.476520423704938e-12
-98.7997599519904,7.372988114555454e-11,8.110286926011e-11,6.635689303099909e-11
-98.6997399479896,5.276525768520658e-10,5.804178345372724e-10,4.748873191668592e-10
-98.5997199439888,2.847873921217157e-09,3.1326613133388732e-09,2.5630865290954413e-09
-98.49969993998799,1.2263108345019482e-08,1.348941917952143e-08,1.1036797510517533e-08
-98.3996799359872,4.3946723285311737e-08,4.834139561384292e-08,3.955205095678056e-08
-98.2996599319864,1.3537235537369034e-07,1.4890959091105937e-07,1.218351198363213e-07
-98.1996399279856,3.675616095638519e-07,4.043177705202371e-07,3.308054486074667e-07
-98.0996199239848,8.973293845371897e-07,9.870623229909089e-07,8.075964460834708e-07
-97.99959991998399,2.0012381821697376e-06,2.2013620003867116e-06,1.801114363952764e-06
-97.8995799159832,4.13011685869889e-06,4.543128544568779e-06,3.717105172829001e-06
-97.7995599119824,7.971128989639601e-06,8.768241888603561e-06,7.174016090675641e-06
-97.6995399079816,1.4512908491376128e-05,1.5964199340513743e-05,1.3061617642238516e-05
-97.59951990398079,2.51084835493186e-05,2.761933190425046e-05,2.259763519438674e-05
-97.49949989998,4.153066454677223e-05,4.568373100144946e-05,3.7377598092095006e-05
-97.3994798959792,6.601519619584014e-05,7.261671581542416e-05,5.941367657625613e-05
-97.2994598919784,0.00010128808492530465,0.00011141689341783512,9.115927643277419e-05
-97.19943988797759,0.00015057488797869998,0.00016563237677657,0.00013551739918082998
-97.0994198839768,0.00021759118099550233,0.0002393502990950526,0.0001958320628959521
-96.999399879976,0.0003065147393566984,0.00033716621329236827,0.0002758632654210286
-96.8993798759752,0.0004219410637113579,0.00046413517008249373,0.00037974695734022216
-96.79935987197439,0.0005688246942614942,0.0006257071636876437,0.0005119422248353448
-96.69933986797359,0.000752409278826957,0.0008276502067096527,0.0006771683509442613
-96.5993198639728,0.0009781496062533116,0.001075964566878643,0.0008803346456279805
-96.499299859972,0.001251628829430387,0.001376791712373426,0.0011264659464873485
-96.3992798559712,0.0015784739308926364,0.0017363213239819002,0.0014206265378033727
-96.29925985197039,0.00196427218033967,0.002160699398373637,0.001767844962305703
-96.1992398479696,0.00241449094558305,0.002655940040141355,0.0021730418510247447
-96.0992198439688,0.002934402787879896,0.003227843066667886,0.0026409625090919064
-95.999199839968,0.0035290173327978958,0.0038819190660776856,0.0031761155995181064
-95.89917983596719,0.004203020983906737,0.0046233230822974114,0.0037827188855160637
-95.79915983196639,0.004960725156346615,0.005456797671981277,0.004464652640711954
-95.6991398279656,0.005806023361768976,0.006386625697945875,0.005225421025592079
-95.5991198239648,0.006742357181014881,0.0074165928991163695,0.0060681214629133935
-95.49909981996399,0.0077726909177962,0.00854996000957582,0.00699542182601658
-95.39907981596319,0.008899494534158212,0.009789443987574033,0.00800954508074239
-95.2990598119624,0.010124734323147536,0.011137207755462291,0.009112260890832783
-95.1990398079616,0.011449870671128386,0.012594857738241226,0.010304883604015548
-95.09901980396079,0.012875862196159063,0.01416344841577497,0.011588275976543157
-94.99899979995999,0.01440317551413179,0.01584349306554497,0.012962857962718611
-94.89897979595919,0.016031799875493757,0.017634979863043136,0.014428619887944381
-94.7989597919584,0.017761265927148114,0.019537392519862928,0.015985139334433303
-94.69893978795758,0.01959066788190812,0.021549734670098932,0.01763160109371731
-94.59891978395679,0.021518688417522053,0.02367055725927426,0.01936681957576985
-94.49889977995599,0.02354362567524917,0.02589798824277409,0.021189263107724253
-94.3988797759552,0.025663421781259188,0.028229763959385108,0.02309707960313327
-94.2988597719544,0.027875692370285657,0.030663261607314224,0.025088123133257093
-94.19883976795359,0.030177756648008227,0.03319553231280905,0.027159980983207405
-94.09881976395279,0.03256666758501173,0.035823334343512904,0.029310000826510554
-93.99879975995199,0.03503924188969208,0.038543166078661296,0.031535317700722876
-93.8987797559512,0.03759208945928317,0.04135129840521149,0.033832880513354854
-93.79875975195039,0.04022164205665916,0.044243806262325075,0.03619947785099324
-93.69873974794959,0.042924181005348,0.0472165991058828,0.0386317629048132
-93.59871974394879,0.0456958637360581,0.05026545010966391,0.04112627736245229
-93.498699739948,0.0485327490549126,0.053386023960403865,0.043679474149421346
-93.39867973594718,0.051430821036530884,0.05657390314018398,0.0462877389328778
-93.29865973194639,0.05438601147423513,0.05982461262165865,0.048947410326811616
-93.19863972794559,0.057394220845145866,0.06313364292966046,0.05165479876063128
-93.0986197239448,0.06045133777000801,0.06649647154700881,0.05440620399300721
-92.99859971994398,0.06355325696648297,0.06990858266313127,0.05719793126983467
-92.89857971594319,0.06669589571062924,0.07336548528169218,0.06002630613956632
-92.79855971194239,0.06987520883461973,0.07686272971808171,0.06288768795115776
-92.69853970794159,0.07308720229968774,0.08039592252965652,0.06577848206971897
-92.59851970394078,0.0763279453920911,0.08396073993130022,0.068695150852882
-92.49849969993998,0.07959358159679493,0.08755293975647443,0.07163422343711544
-92.39847969593919,0.08288033820880404,0.09116837202968445,0.07459230438792364
-92.29845969193839,0.08618453474586386,0.09480298822045026,0.07756608127127748
-92.1984396879376,0.08950259022876422,0.09845284925164065,0.0805523312058878
-92.09841968393678,0.09283102939692271,0.102114132336615,0.08354792645723044
-91.99839967993599,0.09616648792743976,0.10578313672018375,0.08654983913469579
-91.89837967593519,0.09950571672556413,0.10945628839812055,0.08955514505300773
-91.79835967193439,0.10284558535360762,0.11313014388896839,0.09256102681824686
-91.69833966793358,0.10618308466391875,0.11680139313031064,0.09556477619752687
-91.59831966393278,0.10951532869967733,0.12046686156964506,0.09856379582970959
-91.49829965993199,0.11283955592507551,0.12412351151758307,0.10155560033256796
-91.39827965593119,0.1161531298440122,0.12776844282841343,0.10453781685961099
-91.29825965193038,0.11945353906378399,0.1313988929701624,0.1075081851574056
-91.19823964792958,0.12273839685749374,0.13501223654324312,0.11046455717174437
-91.09821964392879,0.1260054402760387,0.13860598430364257,0.11340489624843482
-90.99819963992799,0.1292525288576585,0.14217778174342438,0.11632727597189266
-90.89817963592719,0.13247764298011883,0.14572540727813071,0.11922987868210695
-90.79815963192638,0.1356788818977408,0.14924677008751489,0.12211099370796673
-90.69813962792558,0.1388544615026586,0.15273990765292447,0.12496901535239274
-90.59811962392479,0.1420027118469368,0.1562029830316305,0.12780244066224314
-90.49809961992398,0.14512207445950323,0.15963428190545356,0.1306098670135529
-90.39807961592318,0.14821109948927919,0.16303220943820712,0.13338998954035128
-90.29805961192238,0.15126844270341633,0.16639528697375797,0.1361415984330747
-90.19803960792159,0.15429286236718473,0.16972214860390322,0.13886357613046627
